Date,cumulative,SPY_Price
2014-11-05,282523.75464729813,259943.48131719584
2014-11-06,282123.8656938727,260984.07432426338
2014-11-07,283621.7070407493,261228.16791412112
2014-11-10,285156.776671532,262050.3665520428
2014-11-11,286185.4732820915,262307.2999508755
2014-11-12,285498.853326857,262024.68693409275
2014-11-13,286475.80549808143,262320.1593626123
2014-11-14,288650.3737901984,262384.3976130109
2014-11-17,287805.34095109056,262551.3935407332
2014-11-18,289242.3266777034,264067.3339185411
2014-11-19,287665.37978698226,263643.3849892244
2014-11-20,286698.0758886376,264105.8729482279
2014-11-21,287022.48922066484,265519.01644318865
2014-11-24,288191.5285684889,266264.1370217367
2014-11-25,288782.3878305809,266071.4418733026
2014-11-26,289660.59835820016,266752.3242014521
2014-11-28,291450.9070345228,266187.05896236305
2014-12-01,288284.51363879815,264337.1071263488
2014-12-02,288719.9012502445,266045.74265259085
2014-12-03,287618.9392564627,267073.49585068336
2014-12-04,287610.23053269286,266778.0234221639
2014-12-05,286047.1202460474,267214.8121604557
2014-12-08,283092.70990577625,265429.09857484006
2014-12-09,284787.4014911341,265249.2432353809
2014-12-10,282294.47693643713,260996.9337360002
2014-12-11,283678.3848396147,262320.1593626123
2014-12-12,281886.3458515073,258080.68967220653
2014-12-15,280088.5576056726,256307.81589556587
2014-12-16,276368.33628302754,254252.32910214254
2014-12-17,281506.8448732435,259236.89976833458
2014-12-18,285749.5727717194,265647.4929439859
2014-12-19,285665.75814695854,265313.4814857796
2014-12-22,287967.93991275807,266533.9298323062
2014-12-23,288243.2572847446,266893.6405112244
2014-12-24,287486.4456259007,266919.33973193617
2014-12-26,290004.2779196323,267780.0773995447
2014-12-29,290524.9294288751,268139.7880784628
2014-12-30,288364.2980157262,266700.94536279025
2014-12-31,285920.5759457848,264054.4745068043
2015-01-02,285617.9622367441,263913.15819703205
2015-01-05,281666.0018732311,259146.9818999859
2015-01-06,280335.13688654185,256706.08520693262
2015-01-07,281862.58941469813,259904.942287509
2015-01-08,286251.73748169665,264516.96246580785
2015-01-09,284908.11024604196,262397.2374219859
2015-01-12,282280.3080387435,260341.73102580075
2015-01-13,283695.1571938857,259609.46985898953
2015-01-14,282017.66794571694,258042.15064251973
2015-01-15,277201.307019127,255678.33200884005
2015-01-16,279672.2110052086,259031.36481092547
2015-01-20,281025.4365922056,259583.77063827767
2015-01-21,283070.818201302,260894.15645591475
2015-01-22,288180.9692055163,264773.9154674024
2015-01-23,289005.72450571216,263322.2133399931
2015-01-26,289447.15390634123,263938.8574177439
2015-01-27,285412.0326274732,260457.367717623
2015-01-28,284661.7367869883,257117.1747245126
2015-01-29,289108.29242000054,259493.85276992904
2015-01-30,290324.3086262154,256230.73783619227
2015-02-02,293174.46680383757,259403.9152988186
2015-02-03,294707.9701816201,263155.197809509
2015-02-04,294635.6930094845,262153.14383212826
2015-02-05,297034.7956822788,264799.59508535237
2015-02-06,294695.2398879605,264067.3339185411
2015-02-09,292876.0114571374,262885.4246017013
2015-02-10,295973.3958805915,265686.0319736727
2015-02-11,296077.4663310582,265840.18809242
2015-02-12,298857.89180469466,268396.7214772955
2015-02-13,301693.68268277135,269501.5527347617
2015-02-17,300227.9827222398,269925.50166407845
2015-02-18,302027.7749317137,269951.2008847902
2015-02-19,301821.05412893865,269758.4861335944
2015-02-20,303729.03872848756,271377.2037914878
2015-02-23,303696.3748421855,271338.66476180096
2015-02-24,302433.5018133848,272109.46495829907
2015-02-25,302645.18114219763,271878.23078017816
2015-02-26,308294.64359841094,271557.0591309469
2015-02-27,306423.1646488847,270632.08321293973
2015-03-02,306531.015316406,272340.7187391817
2015-03-03,304857.08454407944,271223.02806997875
2015-03-04,302409.4790597155,270079.6577828257
2015-03-05,303622.3858632735,270375.149814107
2015-03-06,300350.06815124163,266572.46886199305
2015-03-09,301570.00746802846,267677.3001194592
2015-03-10,297410.7543119742,263335.0531489681
2015-03-11,296381.7855452361,262718.40907121723
2015-03-12,299608.1208469274,266058.6020643276
2015-03-13,298095.18019709486,264427.04459745926
2015-03-16,301172.80782201246,267959.93273900374
2015-03-17,301914.92677449225,267163.43332179385
2015-03-18,303819.9361529914,270375.149814107
2015-03-19,303296.80603393575,269141.84205584356
2015-03-20,303499.3013226235,270310.9115637084
2015-03-23,303748.90840262885,269784.1853543062
2015-03-24,303223.56212628505,268268.26457926
2015-03-25,299025.1311897553,264337.1071263488
2015-03-26,298138.1970395633,263707.623239623
2015-03-27,299402.3168072273,264311.4275083988
2015-03-30,302048.5516207766,267535.983809687
2015-03-31,300929.0696199223,265197.8447939573
2015-04-01,299603.27630231786,264260.0290669752
2015-04-02,300642.90153544233,265210.70420569414
2015-04-06,304194.1099888,266996.41779130977
2015-04-07,303066.59296137147,266289.83624244854
2015-04-08,304088.46660601784,267189.11293974385
2015-04-09,304196.88072733104,268371.0222565837
2015-04-10,304676.67149502866,269835.564192968
2015-04-13,303473.3522825778,268615.11584644136
2015-04-14,303804.0183629334,269129.00224686856
2015-04-15,303874.9404088408,270336.5911816584
2015-04-16,304314.3412425023,270259.5131222848
2015-04-17,300795.5575210425,267150.573910057
2015-04-20,304403.3638758069,269591.4902058721
2015-04-21,304983.98258398037,269270.31855664076
